INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-BF_EASY_100_092.bpp,100,26,"{'FFIT': 1, 'BFIT': 4, 'WFIT': 90, 'AWFIT': 5}",0.7797
GA-BF_EASY_100_092.bpp,100,25,"{'FFIT': 95, 'BFIT': 1, 'WFIT': 4, 'AWFIT': 0}",0.8437
GA-AWF_EASY_100_026.bpp,100,25,"{'FFIT': 5, 'BFIT': 0, 'WFIT': 94, 'AWFIT': 1}",0.8464
GA-AWF_EASY_100_026.bpp,100,24,"{'FFIT': 93, 'BFIT': 1, 'WFIT': 5, 'AWFIT': 1}",0.9163
GA-AWF_EASY_100_026.bpp,100,25,"{'FFIT': 7, 'BFIT': 1, 'WFIT': 92, 'AWFIT': 0}",0.8466
GA-AWF_EASY_100_038.bpp,100,25,"{'FFIT': 2, 'BFIT': 2, 'WFIT': 96, 'AWFIT': 0}",0.8365
GA-AWF_EASY_100_038.bpp,100,25,"{'FFIT': 95, 'BFIT': 1, 'WFIT': 2, 'AWFIT': 2}",0.8441
GA-AWF_EASY_100_038.bpp,100,25,"{'FFIT': 6, 'BFIT': 5, 'WFIT': 1, 'AWFIT': 88}",0.8414
GA-FF_EASY_100_002.bpp,100,23,"{'FFIT': 4, 'BFIT': 3, 'WFIT': 0, 'AWFIT': 93}",0.9146
GA-FF_EASY_100_002.bpp,100,23,"{'FFIT': 9, 'BFIT': 88, 'WFIT': 0, 'AWFIT': 3}",0.9252
GA-FF_EASY_100_002.bpp,100,23,"{'FFIT': 32, 'BFIT': 5, 'WFIT': 0, 'AWFIT': 63}",0.9146
GA-AWF_EASY_100_084.bpp,100,30,"{'FFIT': 5, 'BFIT': 72, 'WFIT': 19, 'AWFIT': 4}",0.8815
GA-AWF_EASY_100_084.bpp,100,29,"{'FFIT': 2, 'BFIT': 3, 'WFIT': 7, 'AWFIT': 88}",0.9399
GA-AWF_EASY_100_084.bpp,100,31,"{'FFIT': 3, 'BFIT': 4, 'WFIT': 89, 'AWFIT': 4}",0.8271
GA-AWF_EASY_100_055.bpp,100,28,"{'FFIT': 92, 'BFIT': 1, 'WFIT': 6, 'AWFIT': 1}",0.8458
GA-AWF_EASY_100_055.bpp,100,28,"{'FFIT': 6, 'BFIT': 0, 'WFIT': 4, 'AWFIT': 90}",0.8453
GA-AWF_EASY_100_055.bpp,100,28,"{'FFIT': 1, 'BFIT': 0, 'WFIT': 91, 'AWFIT': 8}",0.8418
GA-AWF_EASY_100_024.bpp,100,25,"{'FFIT': 2, 'BFIT': 3, 'WFIT': 93, 'AWFIT': 2}",0.8508
GA-AWF_EASY_100_024.bpp,100,24,"{'FFIT': 91, 'BFIT': 2, 'WFIT': 6, 'AWFIT': 1}",0.9116
GA-AWF_EASY_100_024.bpp,100,24,"{'FFIT': 3, 'BFIT': 3, 'WFIT': 3, 'AWFIT': 91}",0.9114
GA-BF_EASY_100_027.bpp,100,21,"{'FFIT': 1, 'BFIT': 93, 'WFIT': 4, 'AWFIT': 2}",0.9694
GA-BF_EASY_100_027.bpp,100,21,"{'FFIT': 0, 'BFIT': 95, 'WFIT': 2, 'AWFIT': 3}",0.9694
GA-BF_EASY_100_027.bpp,100,23,"{'FFIT': 0, 'BFIT': 4, 'WFIT': 87, 'AWFIT': 9}",0.8168
GA-FF_EASY_100_038.bpp,100,25,"{'FFIT': 2, 'BFIT': 3, 'WFIT': 3, 'AWFIT': 92}",0.9124
GA-FF_EASY_100_038.bpp,100,26,"{'FFIT': 1, 'BFIT': 11, 'WFIT': 85, 'AWFIT': 3}",0.8452
GA-FF_EASY_100_038.bpp,100,25,"{'FFIT': 0, 'BFIT': 97, 'WFIT': 2, 'AWFIT': 1}",0.9126
GA-BF_EASY_100_053.bpp,100,18,"{'FFIT': 1, 'BFIT': 94, 'WFIT': 5, 'AWFIT': 0}",0.9983
GA-BF_EASY_100_053.bpp,100,20,"{'FFIT': 70, 'BFIT': 24, 'WFIT': 4, 'AWFIT': 2}",0.8228
GA-BF_EASY_100_053.bpp,100,20,"{'FFIT': 4, 'BFIT': 4, 'WFIT': 88, 'AWFIT': 4}",0.8149
GA-WF_EASY_100_096.bpp,100,30,"{'FFIT': 1, 'BFIT': 93, 'WFIT': 4, 'AWFIT': 2}",0.8491
GA-WF_EASY_100_096.bpp,100,30,"{'FFIT': 3, 'BFIT': 95, 'WFIT': 2, 'AWFIT': 0}",0.8491
GA-WF_EASY_100_096.bpp,100,30,"{'FFIT': 9, 'BFIT': 87, 'WFIT': 3, 'AWFIT': 1}",0.8491
GA-BF_EASY_100_023.bpp,100,32,"{'FFIT': 1, 'BFIT': 1, 'WFIT': 93, 'AWFIT': 5}",0.7623
GA-BF_EASY_100_023.bpp,100,31,"{'FFIT': 25, 'BFIT': 1, 'WFIT': 2, 'AWFIT': 72}",0.8132
GA-BF_EASY_100_023.bpp,100,30,"{'FFIT': 92, 'BFIT': 4, 'WFIT': 1, 'AWFIT': 3}",0.8804
GA-WF_EASY_100_080.bpp,100,32,"{'FFIT': 4, 'BFIT': 1, 'WFIT': 3, 'AWFIT': 92}",0.8272
GA-WF_EASY_100_080.bpp,100,29,"{'FFIT': 1, 'BFIT': 2, 'WFIT': 92, 'AWFIT': 5}",0.9857
GA-WF_EASY_100_080.bpp,100,32,"{'FFIT': 0, 'BFIT': 2, 'WFIT': 5, 'AWFIT': 93}",0.8272
GA-FF_EASY_100_015.bpp,100,26,"{'FFIT': 1, 'BFIT': 0, 'WFIT': 97, 'AWFIT': 2}",0.8411
GA-FF_EASY_100_015.bpp,100,24,"{'FFIT': 94, 'BFIT': 2, 'WFIT': 3, 'AWFIT': 1}",0.9813
GA-FF_EASY_100_015.bpp,100,26,"{'FFIT': 4, 'BFIT': 93, 'WFIT': 1, 'AWFIT': 2}",0.8507
GA-FF_EASY_100_055.bpp,100,25,"{'FFIT': 2, 'BFIT': 2, 'WFIT': 90, 'AWFIT': 6}",0.8361
GA-FF_EASY_100_055.bpp,100,24,"{'FFIT': 95, 'BFIT': 0, 'WFIT': 3, 'AWFIT': 2}",0.9076
GA-FF_EASY_100_055.bpp,100,24,"{'FFIT': 2, 'BFIT': 1, 'WFIT': 2, 'AWFIT': 95}",0.9004
